"[-294.43389892578125, 115.02985382080078, 8.136125564575195, 30.486858367919922, 13.940555572509766, -4.155799865722656, -14.45777702331543, -4.431183338165283, -11.60440731048584, -10.223061561584473, -13.254691123962402, -10.164109230041504, 0.7425705194473267, -9.783201217651367, -0.9897187352180481, 6.79637336730957, -5.92775297164917, -2.8200020790100098, -0.3393561542034149, -4.71666145324707]",Mario Castañeda
"[-200.54782104492188, 113.71635437011719, -18.62030029296875, 29.95168113708496, 10.211334228515625, -1.6062902212142944, -9.593364715576172, -5.676712512969971, -22.024478912353516, -12.800979614257812, -13.659172058105469, -6.516598224639893, 5.261256694793701, -11.853530883789062, -3.8779208660125732, 6.675795555114746, -9.488274574279785, -8.738359451293945, -4.711328506469727, -5.475184917449951]",Mario Castañeda
"[-177.6854705810547, 105.9264907836914, -28.581907272338867, 29.705501556396484, 5.385887622833252, -12.172491073608398, -15.096792221069336, -2.706382989883423, -19.55144691467285, -10.139582633972168, -8.488588333129883, -8.105743408203125, 2.523972749710083, -10.146347045898438, -2.016791820526123, 6.9206647872924805, -7.989618301391602, -9.61246109008789, -4.335433483123779, -5.387476444244385]",Mario Castañeda
"[-227.46658325195312, 153.98727416992188, -6.282083988189697, 13.567198753356934, 4.521300315856934, -1.9647884368896484, -14.045701026916504, -7.619274139404297, -15.024672508239746, -18.676185607910156, -12.770216941833496, -2.2032735347747803, -1.408673882484436, -6.778367519378662, -3.9333584308624268, 2.773982286453247, -3.380192518234253, -9.884777069091797, 0.8904808759689331, -3.9670774936676025]",Rene Garcia
"[-190.95774841308594, 122.4046859741211, -7.84512996673584, 19.372997283935547, -4.112273693084717, 3.6634342670440674, -7.217196941375732, -3.5514330863952637, -14.64858627319336, -16.015958786010742, -13.03579330444336, -1.230629563331604, -5.171635150909424, -2.902981758117676, -5.804958343505859, 0.9158730506896973, -5.078876972198486, -8.517715454101562, 0.8067272901535034, -5.069128036499023]",Rene Garcia
"[-206.60658264160156, 140.0809783935547, -19.383638381958008, 18.552738189697266, 9.723381042480469, 3.4379329681396484, -7.847917556762695, -6.638958930969238, -17.011795043945312, -14.529217720031738, -16.043336868286133, -6.798004627227783, -5.283156871795654, -8.56747817993164, -4.728755474090576, -3.886244535446167, -5.674430847167969, -7.6704277992248535, -2.7295656204223633, -1.1522821187973022]",Rene Garcia
"[-217.8555450439453, 123.97396087646484, -4.202188968658447, 26.244482040405273, -0.06413169950246811, -0.5080777406692505, -11.558795928955078, -7.0356316566467285, -16.85820198059082, -13.388113975524902, -17.000282287597656, -3.974679708480835, 3.241823196411133, -5.339439868927002, -2.22778582572937, 0.9004812836647034, -4.367483139038086, -5.969506740570068, -1.4692381620407104, -5.104867935180664]",Rene Garcia
"[-238.02467346191406, 114.41390991210938, 3.0564587116241455, 25.104896545410156, 9.094193458557129, -8.46965217590332, -17.868459701538086, -5.318225860595703, -13.52490234375, -12.191020011901855, -12.839767456054688, -4.665304183959961, 2.4821596145629883, -1.7353181838989258, -4.094686508178711, -1.0983558893203735, -5.718875885009766, -8.821307182312012, -3.9976418018341064, -5.74941873550415]",Rene Garcia
"[-195.31849670410156, 129.740966796875, -22.43950843811035, 7.34343147277832, -9.818729400634766, -5.114035606384277, -6.119865417480469, -1.0063179731369019, -13.625204086303711, -6.639708042144775, -6.071972370147705, -0.2576092481613159, -3.9093353748321533, -5.514279842376709, -8.637033462524414, -0.9604198932647705, -3.7838807106018066, -6.324714660644531, 0.3499322831630707, -5.953546524047852]",Rene Garcia
"[-235.32925415039062, 146.53199768066406, -0.8386196494102478, 7.044600486755371, -4.827917098999023, -1.420437216758728, -8.021109580993652, -3.361577033996582, -13.029765129089355, -18.036466598510742, -10.574151039123535, 0.7513793706893921, -7.702500343322754, -7.398824691772461, -7.310391902923584, -5.425427436828613, -3.291471481323242, -7.156605243682861, -0.581653892993927, -3.9097230434417725]",Rene Garcia
